date,value,GPD_per_capita,eu_prod_index
6/22/12,787053.3669,50070.1416,97.4
6/23/12,860029.4731,50070.1416,97.4
6/24/12,843654.5742,50070.1416,97.4
6/25/12,686012.333,50070.1416,97.4
6/26/12,692122.138,50070.1416,97.4
6/27/12,662711.7832,50070.1416,97.4
6/28/12,667852.6514,50070.1416,97.4
6/29/12,745050.9935,50070.1416,97.4
6/30/12,873161.8009,50070.1416,97.4
7/1/12,879271.3005,50070.1416,97.7
7/2/12,695759.239,50070.1416,97.7
7/3/12,669931.2725,50070.1416,97.7
7/4/12,679298.9532,50070.1416,97.7
7/5/12,659676.3465,50070.1416,97.7
7/6/12,753773.0815,50070.1416,97.7
7/7/12,822374.1623,50070.1416,97.7
7/8/12,836795.1355,50070.1416,97.7
7/9/12,659183.5448,50070.1416,97.7
7/10/12,638824.4427,50070.1416,97.7
7/11/12,630980.9474,50070.1416,97.7
7/12/12,700483.6561,50070.1416,97.7
7/13/12,756272.0385,50070.1416,97.7
7/14/12,835139.117,50070.1416,97.7
7/15/12,816672.8621,50070.1416,97.7
7/16/12,658305.9708,50070.1416,97.7
7/17/12,640478.1417,50070.1416,97.7
7/18/12,602891.4864,50070.1416,97.7
7/19/12,620252.742,50070.1416,97.7
7/20/12,683309.366,50070.1416,97.7
7/21/12,835816.416,50070.1416,97.7
7/22/12,812916.3156,50070.1416,97.7
7/23/12,627891.0418,50070.1416,97.7
7/24/12,625852.6046,50070.1416,97.7
7/25/12,652774.0734,50070.1416,97.7
7/26/12,597451.0818,50070.1416,97.7
7/27/12,704332.1647,50070.1416,97.7
7/28/12,872385.3701,50070.1416,97.7
7/29/12,789717.3386,50070.1416,97.7
7/30/12,595135.1642,50070.1416,97.7
7/31/12,640844.0118,50070.1416,97.7
8/1/12,618753.3345,50070.1416,98.4
8/2/12,622118.4101,50070.1416,98.4
8/3/12,697831.7768,50070.1416,98.4
8/4/12,854242.863,50070.1416,98.4
8/5/12,803064.1326,50070.1416,98.4
8/6/12,620734.7658,50070.1416,98.4
8/7/12,648435.5979,50070.1416,98.4
8/8/12,635520.7826,50070.1416,98.4
8/9/12,632834.0095,50070.1416,98.4
8/10/12,694281.6492,50070.1416,98.4
8/11/12,814752.8926,50070.1416,98.4
8/12/12,771066.3794,50070.1416,98.4
8/13/12,613241.4866,50070.1416,98.4
8/14/12,631016.5195,50070.1416,98.4
8/15/12,606312.382,50070.1416,98.4
8/16/12,598828.2066,50070.1416,98.4
8/17/12,742087.2688,50070.1416,98.4
8/18/12,802335.9064,50070.1416,98.4
8/19/12,830762.4099,50070.1416,98.4
8/20/12,588754.2932,50070.1416,98.4
8/21/12,604558.6289,50070.1416,98.4
8/22/12,589539.0134,50070.1416,98.4
8/23/12,632311.6918,50070.1416,98.4
8/24/12,709872.9913,50070.1416,98.4
8/25/12,829700.2587,50070.1416,98.4
8/26/12,805247.5602,50070.1416,98.4
8/27/12,621723.9556,50070.1416,98.4
8/28/12,598193.7288,50070.1416,98.4
8/29/12,625626.0574,50070.1416,98.4
8/30/12,604042.0131,50070.1416,98.4
8/31/12,673211.5093,50070.1416,98.4
9/1/12,795067.0496,50070.1416,96.5
9/2/12,791904.4861,50070.1416,96.5
9/3/12,631039.4587,50070.1416,96.5
9/4/12,620696.8797,50070.1416,96.5
9/5/12,578045.7204,50070.1416,96.5
9/6/12,600380.5343,50070.1416,96.5
9/7/12,706487.491,50070.1416,96.5
9/8/12,772155.5036,50070.1416,96.5
9/9/12,793071.6117,50070.1416,96.5
9/10/12,574650.6046,50070.1416,96.5
9/11/12,595408.068,50070.1416,96.5
9/12/12,597836.1522,50070.1416,96.5
9/13/12,591587.4613,50070.1416,96.5
9/14/12,675073.9707,50070.1416,96.5
9/15/12,810818.6699,50070.1416,96.5
